"[[[[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]


 [[[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]


 [[[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]


 [[[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]


 [[[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]


 [[[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]]",0.0,"[0.11315604 0.10918607 0.10410859 0.12009602 0.10165909 0.11867478
 0.10535538 0.11727036 0.11049367]"
"[[[[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]


 [[[0.]
   [0.]
   [0.]]

  [[1.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]


 [[[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]


 [[[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]


 [[[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]


 [[[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]]",0.0,"[0.13335129 0.10618032 0.10352596 0.09903948 0.1228186  0.11240415
 0.10418326 0.10959419 0.10890275]"
"[[[[0.]
   [0.]
   [0.]]

  [[1.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]


 [[[1.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]


 [[[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]


 [[[0.]
   [0.]
   [0.]]

  [[1.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]


 [[[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]


 [[[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]]",0.0,"[0.09897622 0.10563275 0.12103298 0.09897622 0.13148639 0.11612219
 0.10439002 0.10377415 0.11960908]"
"[[[[1.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]


 [[[0.]
   [0.]
   [0.]]

  [[1.]
   [1.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]


 [[[0.]
   [0.]
   [0.]]

  [[1.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]


 [[[1.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]


 [[[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]


 [[[0.]
   [0.]
   [0.]]

  [[1.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]]",0.0,"[0.09862928 0.11131759 0.11419014 0.09862928 0.09862928 0.15016735
 0.10714367 0.1078283  0.11346513]"
"[[[[0.]
   [0.]
   [0.]]

  [[1.]
   [1.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]


 [[[1.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [1.]]

  [[0.]
   [0.]
   [0.]]]


 [[[1.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]


 [[[0.]
   [0.]
   [0.]]

  [[1.]
   [1.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]


 [[[0.]
   [0.]
   [0.]]

  [[1.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]


 [[[1.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]]",0.0,"[0.09868779 0.12884729 0.13620804 0.09868779 0.09868779 0.09868779
 0.1043256  0.12120906 0.11465885]"
"[[[[1.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [1.]]

  [[0.]
   [0.]
   [0.]]]


 [[[0.]
   [0.]
   [1.]]

  [[1.]
   [1.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]


 [[[0.]
   [0.]
   [0.]]

  [[1.]
   [1.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]


 [[[1.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [1.]]

  [[0.]
   [0.]
   [0.]]]


 [[[1.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]


 [[[0.]
   [0.]
   [0.]]

  [[1.]
   [1.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]]",0.0,"[0.0944873  0.09774516 0.0944873  0.0944873  0.0944873  0.0944873
 0.23597353 0.09756126 0.09628358]"
"[[[[0.]
   [0.]
   [1.]]

  [[1.]
   [1.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]


 [[[1.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [1.]]

  [[1.]
   [0.]
   [0.]]]


 [[[1.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [1.]]

  [[0.]
   [0.]
   [0.]]]


 [[[0.]
   [0.]
   [1.]]

  [[1.]
   [1.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]


 [[[0.]
   [0.]
   [0.]]

  [[1.]
   [1.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]


 [[[1.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [1.]]

  [[0.]
   [0.]
   [0.]]]]",0.0,"[0.0981341  0.14148427 0.0981341  0.0981341  0.0981341  0.0981341
 0.0981341  0.14023497 0.12947616]"
"[[[[1.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [1.]]

  [[1.]
   [0.]
   [0.]]]


 [[[0.]
   [1.]
   [1.]]

  [[1.]
   [1.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]


 [[[0.]
   [0.]
   [1.]]

  [[1.]
   [1.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]


 [[[1.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [1.]]

  [[1.]
   [0.]
   [0.]]]


 [[[1.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [1.]]

  [[0.]
   [0.]
   [0.]]]


 [[[0.]
   [0.]
   [1.]]

  [[1.]
   [1.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]]",0.0,"[0.09345271 0.09345271 0.09345271 0.09345271 0.09345271 0.09345271
 0.09345271 0.25140065 0.09443041]"
"[[[[0.]
   [1.]
   [1.]]

  [[1.]
   [1.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]


 [[[1.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [1.]]

  [[1.]
   [1.]
   [0.]]]


 [[[1.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [1.]]

  [[1.]
   [0.]
   [0.]]]


 [[[0.]
   [1.]
   [1.]]

  [[1.]
   [1.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]


 [[[0.]
   [0.]
   [1.]]

  [[1.]
   [1.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]


 [[[1.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [1.]]

  [[1.]
   [0.]
   [0.]]]]",0.0,"[0.09329854 0.09329854 0.09329854 0.09329854 0.09329854 0.09329854
 0.09329854 0.09329854 0.25361171]"
"[[[[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]


 [[[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]


 [[[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]


 [[[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]


 [[[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]


 [[[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]

  [[0.]
   [0.]
   [0.]]]]",0.0,"[0.11271117 0.11620968 0.10931797 0.11271117 0.11877492 0.10419101
 0.10194076 0.10742507 0.11671826]"
